element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cs,2,"=""1270.0492""","=""0.0003""","=""1270.04921""","=""0.00024""","=""1500""","=""""",,"=""166591.8501""","=""174463.4074""","=""5p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).6g""","=""2[5/2]*""","=""3""",,"=""""","=""L12126""",
Ar,1,"=""1270.2281""","=""""","=""1270.2280""","=""""","=""150""","=""7.1e+06""",D,"=""107496.4166""","=""115366.866""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).3d""","=""2[3/2]*""","=""1""",,"=""T1618n""","=""L2634""",
Fe,2,"=""""","=""""","=""1270.34348""","=""0.00011""","=""""","=""3.60e-03""",C+,"=""977.0498""","=""8846.7837""","=""3d6.(5D).4s""","=""a 6D""","=""1/2""","=""3d6.(5D).4s""","=""a 4D""","=""1/2""",M1,"=""T8961""","=""""",
Fe,2,"=""1270.5705""","=""0.0002""","=""1270.57208""","=""0.00018""","=""11""","=""1.1e+04""",D,"=""54283.236""","=""62151.554""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""",,"=""T6892c83""","=""L18349c145""",
S,2,"=""""","=""""","=""1270.620""","=""0.006""","=""""","=""2.39e+06""",C+,"=""130641.154""","=""138509.175""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""","=""3s2.3p2.(1D).3d""","=""2F""","=""5/2""",,"=""T3186c85""","=""""",
N,1,"=""""","=""""","=""1270.8899""","=""""","=""""","=""2.60e+06""",C+,"=""96787.680""","=""104654.030""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",,"=""T7370""","=""""",
C,1,"=""""","=""""","=""1271.0""","=""0.3""","=""""","=""2.4e+04""",D,"=""80782.44916""","=""88648.4""","=""2s2.2p.4p""","=""3D""","=""1""","=""2s2.2p.(2P*<3/2>).7d""","=""2[1/2]*""","=""0""",,"=""T5520LS""","=""""",
Fe,2,"=""1271.12375""","=""0.00006""","=""1271.12361""","=""0.00013""","=""28""","=""""",,"=""107165.760""","=""115030.664""","=""3d6.(5D).6p""","=""4F*""","=""7/2""","=""3d6.(3D).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c139""",
N,1,"=""""","=""""","=""1271.1679""","=""""","=""""","=""6.70e+04""",C+,"=""96750.840""","=""104615.470""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T7370""","=""""",
C,1,"=""""","=""""","=""1271.20""","=""0.03""","=""""","=""6.e+03""",D,"=""80782.44916""","=""88646.9""","=""2s2.2p.4p""","=""3D""","=""1""","=""2s2.2p.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""T5520LS""","=""""",
Ar,2,"=""1271.262""","=""0.002""","=""1271.25877""","=""0.00006""","=""0.0386""","=""""",,"=""195866.8503""","=""203730.9181""","=""3s2.3p4.(1D).5s""","=""2D""","=""3/2""","=""3s2.3p4.(3P).6p""","=""2P*""","=""3/2""",,"=""""","=""L13470""",
N,1,"=""""","=""""","=""1271.63""","=""""","=""""","=""1.40e+05""",C+,"=""112294.007""","=""120155.8""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5714""","=""""",
O,3,"=""""","=""""","=""1271.771""","=""""","=""""","=""3.14e+04""",C+,"=""366802.62""","=""374663.52""","=""2s2.2p.(2P*).4p""","=""3D""","=""3""","=""2s.2p2.(4P).3p""","=""3D*""","=""2""",,"=""T5376LS""","=""""",
S,2,"=""""","=""""","=""1271.87""","=""0.04""","=""""","=""4.66e+06""",D,"=""150258.510""","=""158118.77""","=""3s2.3p2.(3P).5s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""4S*""","=""3/2""",,"=""u20,LS""","=""""",
Ne,1,"=""1271.8797""","=""0.0002""","=""1271.87984""","=""0.00023""","=""23""","=""""",,"=""163012.6247""","=""170872.8524""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""""","=""L9097""",
N,3,"=""""","=""""","=""1272.08""","=""""","=""""","=""1.10e+07""",B,"=""378432.8""","=""386291.8""","=""2s.2p.(3P*).4p""","=""4S""","=""3/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""3/2""",,"=""T7192LS""","=""""",
C,1,"=""""","=""""","=""1272.09""","=""0.03""","=""""","=""2.8e+04""",D,"=""81311.0544""","=""89170.01""","=""2s2.2p.4p""","=""3P""","=""0""","=""2s2.2p.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""T5520LS""","=""""",
Fe,2,"=""1272.14465""","=""0.00018""","=""1272.14231""","=""0.00015""","=""1.4""","=""9.e+03""",D,"=""94685.083""","=""102543.689""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""5/2""","=""3d6.(5D).6s""","=""6D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
C,1,"=""""","=""""","=""1272.46""","=""0.06""","=""""","=""2.4e+02""",D,"=""80782.44916""","=""88639.1""","=""2s2.2p.4p""","=""3D""","=""1""","=""2s2.2p.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""T5520LS""","=""""",
Ne,1,"=""1272.6785""","=""0.0004""","=""1272.6780""","=""0.0004""","=""11""","=""""",,"=""163012.6247""","=""170867.923""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L9097""",
Al,2,"=""""","=""""","=""1272.710""","=""""","=""""","=""2.09e+03""",E,"=""138561.8""","=""146416.9""","=""3s.6f""","=""3F*""","=""4""","=""3s.9g""","=""3G""","=""3""",,"=""T6298c4,LS""","=""""",
Al,2,"=""""","=""""","=""1272.710""","=""""","=""""","=""1.07e+05""",D,"=""138561.8""","=""146416.9""","=""3s.6f""","=""3F*""","=""4""","=""3s.9g""","=""3G""","=""4""",,"=""T6298c4,LS""","=""""",
Al,2,"=""""","=""""","=""1272.710""","=""""","=""""","=""1.70e+06""",C+,"=""138561.8""","=""146416.9""","=""3s.6f""","=""3F*""","=""4""","=""3s.9g""","=""3G""","=""5""",,"=""T6298c4,LS""","=""""",
Fe,1,"=""1272.9959""","=""0.0005""","=""1272.99631""","=""0.00023""","=""47""","=""""",,"=""43163.326""","=""51016.660""","=""3d6.(5D).4s (6D).5s""","=""e 7D""","=""4""","=""3d6.(5D).4s (6D).5p""","=""u 5F*""","=""5""",,"=""""","=""L11631""",
Si,2,"=""""","=""""","=""1273.164""","=""""","=""""","=""1.11e+07""",C+,"=""113962.08""","=""121814.38""","=""3s2.6p""","=""2P*""","=""1/2""","=""3s2.8s""","=""2S""","=""1/2""",,"=""T7166""","=""""",
Ar,2,"=""1273.24024""","=""0.00005""","=""1273.24026""","=""0.00005""","=""85""","=""""",,"=""183090.8927""","=""190942.7220""","=""3s2.3p4.(3P).5s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2S*""","=""1/2""",,"=""""","=""L11520""",
Si,4,"=""""","=""""","=""1273.292""","=""""","=""""","=""3.57e+05""",B+,"=""328200.04""","=""336051.55""","=""2p6.7f""","=""2F*""","=""5/2""","=""2p6.8d""","=""2D""","=""5/2""",,"=""c33""","=""""",
Si,4,"=""""","=""""","=""1273.292""","=""""","=""""","=""7.51e+06""",A,"=""328200.04""","=""336051.55""","=""2p6.7f""","=""2F*""","=""5/2""","=""2p6.8d""","=""2D""","=""3/2""",,"=""c33""","=""""",
Si,4,"=""""","=""""","=""1273.292""","=""""","=""""","=""7.15e+06""",A,"=""328200.04""","=""336051.55""","=""2p6.7f""","=""2F*""","=""7/2""","=""2p6.8d""","=""2D""","=""5/2""",,"=""c33""","=""""",
Ar,1,"=""1273.3418""","=""""","=""1273.3418""","=""""","=""30""","=""1.1e+06""",D,"=""105617.2700""","=""113468.473""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""",,"=""T1618n""","=""L2634""",
Fe,2,"=""1273.37245""","=""0.00007""","=""1273.37427""","=""0.00021""","=""6""","=""""",,"=""104315.373""","=""112166.376""","=""3d6.(3H).4d""","=""2K""","=""13/2""","=""3d5.(2H).4s.4p.(3P*)""","=""4I*""","=""11/2""",,"=""""","=""L18349c145""",
Fe,2,"=""1273.4105""","=""0.0007""","=""1273.41044""","=""0.00015""","=""0.4""","=""""",,"=""107197.107""","=""115047.887""","=""3d6.(5D).6p""","=""6P*""","=""7/2""","=""3d6.(5D).6d""","=""6P""","=""5/2""",,"=""""","=""L18349c139""",
Cs,2,"=""1273.55184""","=""0.00011""","=""1273.55186""","=""0.00018""","=""200000""","=""""",,"=""149221.3163""","=""157071.2245""","=""5p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""",,"=""""","=""L12126""",
Ar,2,"=""1273.860""","=""0.002""","=""1273.86035""","=""0.00008""","=""0.0012""","=""""",,"=""147503.1134""","=""155351.1206""","=""3s2.3p4.(3P).3d""","=""4P""","=""3/2""","=""3s2.3p4.(3P).4p""","=""4P*""","=""3/2""",,"=""""","=""L13470""",
Fe,1,"=""1273.8796""","=""0.0005""","=""1273.87953""","=""0.00023""","=""8""","=""""",,"=""43922.668""","=""51770.557""","=""3d6.(3P2).4s.4p.(3P*)""","=""w 5D*""","=""3""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""3""",,"=""""","=""L11631""",
Fe,1,"=""1273.9204""","=""0.0005""","=""1273.91947""","=""0.00023""","=""9""","=""""",,"=""47017.188""","=""54864.831""","=""3d7.(4P).4p""","=""w 3D*""","=""3""","=""3d6.4s.(6D).6s""","=""5D""","=""3""",,"=""""","=""L11631""",
Fe,2,"=""1274.1936""","=""0.0003""","=""1274.19387""","=""0.00015""","=""1.4""","=""""",,"=""106924.441""","=""114770.394""","=""3d6.(3F2).4d""","=""2G""","=""9/2""","=""3d6.(3G).5p""","=""2H*""","=""9/2""",,"=""""","=""L18349c139""",
C,1,"=""""","=""""","=""1274.25""","=""0.03""","=""""","=""1.8e+04""",D,"=""80801.28887""","=""88646.9""","=""2s2.2p.4p""","=""3D""","=""2""","=""2s2.2p.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""T5520LS""","=""""",
Si,2,"=""""","=""""","=""1274.29""","=""""","=""""","=""1.65e+05""",D+,"=""124316.9""","=""132162.29""","=""3s.3p.(3P*).3d""","=""4D*""","=""5/2""","=""3s.3p.(3P*).4p""","=""4D""","=""7/2""",,"=""T6527c4,LS""","=""""",
Fe,2,"=""1274.47921""","=""0.00007""","=""1274.47911""","=""0.00011""","=""7""","=""""",,"=""103751.672""","=""111595.869""","=""3d6.(3H).4d""","=""4H""","=""11/2""","=""3d6.(3H).5p""","=""4H*""","=""11/2""",,"=""""","=""L18349c139""",
C,1,"=""""","=""""","=""1274.48""","=""0.03""","=""""","=""2.1e+04""",D,"=""81325.81077""","=""89170.01""","=""2s2.2p.4p""","=""3P""","=""1""","=""2s2.2p.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""T5520LS""","=""""",
N,2,"=""""","=""""","=""1274.527""","=""""","=""""","=""1.64e+06""",C+,"=""202861.36""","=""210705.26""","=""2s2.2p.4p""","=""3D""","=""3""","=""2s2.2p.4d""","=""3P*""","=""2""",,"=""T5520LS""","=""""",
C,1,"=""""","=""""","=""1274.6""","=""0.3""","=""""","=""8.e+04""",D,"=""81325.81077""","=""89169.2""","=""2s2.2p.4p""","=""3P""","=""1""","=""2s2.2p.(2P*<3/2>).8d""","=""2[1/2]*""","=""0""",,"=""T5520LS""","=""""",
Ne,1,"=""1274.62264""","=""0.00015""","=""1274.62277""","=""0.00023""","=""540""","=""""",,"=""161699.6613""","=""169542.9742""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[7/2]""","=""3""",,"=""""","=""L9097""",
Ar,1,"=""1274.6232""","=""""","=""1274.6232""","=""""","=""12""","=""2.0e+06""",D,"=""107131.7086""","=""114975.019""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""T1618n""","=""L2634""",
Cs,2,"=""1274.63366""","=""0.00019""","=""1274.63362""","=""0.00017""","=""40000""","=""""",,"=""156822.8269""","=""164666.0730""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L12126""",
Al,1,"=""1274.7671""","=""""","=""1274.7663""","=""""","=""8""","=""6.32e+03""",D,"=""32435.453""","=""40277.883""","=""3s2.3d""","=""2D""","=""3/2""","=""3s2.5p""","=""2P*""","=""3/2""",,"=""u36,LS""","=""L6693""",
Ne,1,"=""1274.91248""","=""0.00015""","=""1274.91280""","=""0.00023""","=""710""","=""""",,"=""161701.4486""","=""169542.9772""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[7/2]""","=""4""",,"=""""","=""L9097""",
Al,1,"=""1274.9909""","=""""","=""1274.9846""","=""""","=""13d""","=""5.67e+04""",C+,"=""32436.796""","=""40277.883""","=""3s2.3d""","=""2D""","=""5/2""","=""3s2.5p""","=""2P*""","=""3/2""",,"=""u36,LS""","=""L6693""",
Ne,1,"=""1275.27222""","=""0.00014""","=""1275.27435""","=""0.00023""","=""120*""","=""""",,"=""161699.6613""","=""169538.9668""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""",,"=""""","=""L9097""",
Ne,1,"=""1275.27222""","=""0.00014""","=""1275.27230""","=""0.00023""","=""120*""","=""""",,"=""161699.6613""","=""169538.9794""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L9097""",
Fe,2,"=""1275.3234""","=""0.0002""","=""1275.32340""","=""0.00010""","=""2.8""","=""""",,"=""105155.093""","=""112994.097""","=""3d6.(3F2).4d""","=""4G""","=""9/2""","=""3d6.(5D<4>).5f""","=""2[6]*""","=""11/2""",,"=""""","=""L18349c139""",
C,1,"=""""","=""""","=""1275.52""","=""0.07""","=""""","=""3.5e+03""",D,"=""80801.28887""","=""88639.1""","=""2s2.2p.4p""","=""3D""","=""2""","=""2s2.2p.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""T5520LS""","=""""",
Si,2,"=""""","=""""","=""1275.542""","=""""","=""""","=""2.27e+07""",C+,"=""113976.72""","=""121814.38""","=""3s2.6p""","=""2P*""","=""3/2""","=""3s2.8s""","=""2S""","=""1/2""",,"=""T7166""","=""""",
Ne,1,"=""1275.56507""","=""0.00014""","=""1275.56517""","=""0.00023""","=""170""","=""""",,"=""161701.4486""","=""169538.9668""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""3""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""",,"=""""","=""L9097""",
He,1,"=""""","=""""","=""1275.568847""","=""0.000006""","=""""","=""1.2754e+05""",AAA,"=""[186104.96409510]""","=""[193942.45968763]""","=""1s.3d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Fe,2,"=""1275.6758""","=""0.0004""","=""1275.67686""","=""0.00008""","=""1.5""","=""""",,"=""99688.355""","=""107525.187""","=""3d6.(3F2).5s""","=""f 4F""","=""7/2""","=""3d6.(5D).6p""","=""6P*""","=""5/2""",,"=""""","=""L18349c139""",
C,1,"=""""","=""""","=""1275.68""","=""0.07""","=""""","=""2.1e+04""",D,"=""81325.81077""","=""89162.6""","=""2s2.2p.4p""","=""3P""","=""1""","=""2s2.2p.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""T5520LS""","=""""",
Al,1,"=""1275.7275""","=""""","=""1275.7268""","=""""","=""17""","=""6.29e+04""",C+,"=""32435.453""","=""40271.978""","=""3s2.3d""","=""2D""","=""3/2""","=""3s2.5p""","=""2P*""","=""1/2""",,"=""u36,LS""","=""L6693""",
N,1,"=""""","=""""","=""1275.81""","=""""","=""""","=""2.06e+04""",C+,"=""112319.805""","=""120155.8""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",,"=""T5714""","=""""",
Ne,1,"=""1275.99494""","=""0.00016""","=""1275.99496""","=""0.00023""","=""37""","=""""",,"=""163038.3544""","=""170873.2327""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",,"=""""","=""L9097""",
N,1,"=""""","=""""","=""1276.104""","=""""","=""""","=""1.63e+05""",D+,"=""103667.16""","=""111501.368""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5p""","=""4S*""","=""3/2""",,"=""u18,LS""","=""""",
Fe,2,"=""""","=""""","=""1276.2111""","=""0.0004""","=""""","=""1.09e-03""",C,"=""13474.4474""","=""21307.999""","=""3d7""","=""a 4P""","=""5/2""","=""3d7""","=""a 2D2""","=""3/2""",M1,"=""T8961""","=""""",
Al,3,"=""""","=""""","=""1276.306""","=""""","=""""","=""2.29e+07""",A+,"=""170637.35""","=""178470.32""","=""2p6.5s""","=""2S""","=""1/2""","=""2p6.5p""","=""2P*""","=""3/2""",,"=""c32""","=""""",
O,2,"=""""","=""""","=""1276.353""","=""""","=""""","=""6.63e+06""",D,"=""248010.23""","=""255842.91""","=""2s2.2p2.(3P).4p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""2D""","=""3/2""",,"=""T5723LS""","=""""",
Fe,2,"=""1276.4678""","=""0.0002""","=""1276.46764""","=""0.00011""","=""1.8""","=""""",,"=""99918.563""","=""107750.540""","=""3d6.(3F2).5s""","=""f 4F""","=""3/2""","=""3d6.(5D).6p""","=""4D*""","=""1/2""",,"=""""","=""L18349c139""",
Ne,1,"=""1276.6582""","=""0.0003""","=""1276.65852""","=""0.00023""","=""6*""","=""""",,"=""161699.6613""","=""169530.4673""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",,"=""""","=""L9097""",
Ne,1,"=""1276.6582""","=""0.0003""","=""1276.65544""","=""0.00023""","=""6*""","=""""",,"=""161699.6613""","=""169530.4862""","=""2s2.2p5.(2P*<3/2>).3d""","=""2[5/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[3/2]""","=""2""",,"=""""","=""L9097""",
N,1,"=""""","=""""","=""1276.74""","=""""","=""""","=""1.69e+05""",C+,"=""112319.805""","=""120150.1""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",,"=""T5714""","=""""",
S,4,"=""""","=""""","=""1276.87+""","=""""","=""""","=""4.37e+05""",D,"=""301109.8""","=""308939.3""","=""3s.3p.(3P*).4p""","=""2D""","=""3/2""","=""3s.3p.(1P*).4s""","=""2P*""","=""1/2""",,"=""T6527c4,LS""","=""""",
Ne,1,"=""1276.95250""","=""0.00014""","=""1276.95247""","=""0.00023""","=""1600""","=""2.44e+05""",C+,"=""150772.1118""","=""158601.1152""","=""2s2.2p5.(2P*<1/2>).3p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""",,"=""T6976""","=""L9097""",
N,1,"=""""","=""""","=""1277.1504""","=""""","=""""","=""6.63e+05""",C+,"=""96787.680""","=""104615.470""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T7370""","=""""",
Na,1,"=""""","=""""","=""1277.1506""","=""0.0005""","=""""","=""2.33e+03""",C',"=""33200.673""","=""[41028.462]""","=""2p6.5s""","=""2S""","=""1/2""","=""2p6.17p""","=""2P*""","=""3/2""",,"=""T817""","=""""",
Na,1,"=""""","=""""","=""1277.1576""","=""0.0005""","=""""","=""2.33e+03""",C',"=""33200.673""","=""[41028.419]""","=""2p6.5s""","=""2S""","=""1/2""","=""2p6.17p""","=""2P*""","=""1/2""",,"=""T817""","=""""",
C,1,"=""""","=""""","=""1277.45""","=""0.03""","=""""","=""3.4e+04""",D,"=""81344.05485""","=""89170.01""","=""2s2.2p.4p""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""T5520LS""","=""""",
Fe,2,"=""""","=""""","=""1277.5858""","=""0.0003""","=""""","=""7.3e-03""",C,"=""22939.3512""","=""30764.4737""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3G).4s""","=""b 2G""","=""7/2""",M1,"=""T9588c100""","=""""",
Ne,1,"=""1277.6652""","=""0.0003""","=""1277.66540""","=""0.00024""","=""16""","=""""",,"=""163038.3544""","=""170862.9893""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""""","=""L9097""",
Fe,2,"=""1277.6840""","=""0.0004""","=""1277.68301""","=""0.00011""","=""2.7""","=""""",,"=""103771.342""","=""111595.869""","=""3d6.(3H).4d""","=""4G""","=""9/2""","=""3d6.(3H).5p""","=""4H*""","=""11/2""",,"=""""","=""L18349c139""",
Ni,2,"=""""","=""""","=""1277.916""","=""""","=""""","=""2.1e-05""",E,"=""1506.94""","=""9330.04""","=""3p6.3d9""","=""2D""","=""3/2""","=""3p6.3d8.(3F).4s""","=""4F""","=""7/2""",E2,"=""T4240""","=""""",
C,1,"=""""","=""""","=""1278.045""","=""0.004""","=""""","=""6.e+03""",D,"=""80782.44916""","=""88604.76""","=""2s2.2p.4p""","=""3D""","=""1""","=""2s2.2p.(2P*<3/2>).7d""","=""2[5/2]*""","=""2""",,"=""T5520LS""","=""""",
Fe,2,"=""1278.07218""","=""0.00016""","=""1278.07161""","=""0.00011""","=""1.7""","=""""",,"=""104064.664""","=""111886.812""","=""3d6.(3H).4d""","=""4I""","=""13/2""","=""3d6.(3F2).5p""","=""4G*""","=""11/2""",,"=""""","=""L18349c139""",
Ar,2,"=""1278.27756""","=""0.00005""","=""1278.27758""","=""0.00005""","=""447""","=""""",,"=""181594.1404""","=""189415.0280""","=""3s2.3p4.(3P).5s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""7/2""",,"=""""","=""L11520""",
Fe,1,"=""1278.345""","=""0.003""","=""1278.3445""","=""0.0005""","=""21bl""","=""""",,"=""51539.720""","=""59360.198""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""2""","=""3d6.4s.(4D).5p""","=""5P*""","=""1""",,"=""""","=""L11631""",
He,1,"=""1278.479""","=""""","=""1278.491405""","=""0.000006""","=""81*""","=""2.0331e+04""",AAA,"=""[186101.54358476]""","=""[193921.123147015]""","=""1s.3d""","=""3D""","=""3""","=""1s.5f""","=""3F*""","=""2""",,"=""T8636c73""","=""L7384""",
He,1,"=""1278.479""","=""""","=""1278.491815""","=""0.000006""","=""81*""","=""7.1142e+05""",AAA,"=""[186101.54609533]""","=""[193921.123147015]""","=""1s.3d""","=""3D""","=""2""","=""1s.5f""","=""3F*""","=""2""",,"=""T8636c73""","=""L7384""",
He,1,"=""1278.479""","=""""","=""1278.492126""","=""0.000006""","=""81*""","=""4.5746e+06""",AAA,"=""[186101.54358476]""","=""[193921.118736664]""","=""1s.3d""","=""3D""","=""3""","=""1s.5f""","=""3F*""","=""4""",,"=""T8636c73""","=""L7384""",
He,1,"=""1278.479""","=""""","=""1278.492629""","=""0.000006""","=""81*""","=""3.5457e+05""",AAA,"=""[186101.54358476]""","=""[193921.115658304]""","=""1s.3d""","=""3D""","=""3""","=""1s.5f""","=""3F*""","=""3""",,"=""T8636c73""","=""L7384""",
He,1,"=""1278.479""","=""""","=""1278.493039""","=""0.000006""","=""81*""","=""2.8980e+06""",AAA,"=""[186101.54609533]""","=""[193921.115658304]""","=""1s.3d""","=""3D""","=""2""","=""1s.5f""","=""3F*""","=""3""",,"=""T8636c73""","=""L7384""",
He,1,"=""""","=""""","=""1278.490566""","=""0.000006""","=""""","=""1.537e+05""",AA,"=""[186101.54358476]""","=""[193921.128275032]""","=""1s.3d""","=""3D""","=""3""","=""1s.5f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""1278.490977""","=""0.000006""","=""""","=""1.168e+06""",AA,"=""[186101.54609533]""","=""[193921.128275032]""","=""1s.3d""","=""3D""","=""2""","=""1s.5f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
He,1,"=""1278.499""","=""""","=""1278.499041""","=""0.000006""","=""50""","=""3.8426e+06""",AAA,"=""[186101.59029341]""","=""[193921.123147015]""","=""1s.3d""","=""3D""","=""1""","=""1s.5f""","=""3F*""","=""2""",,"=""T8636c73""","=""L885""",
C,1,"=""""","=""""","=""1278.66""","=""0.07""","=""""","=""6.e+04""",D,"=""81344.05485""","=""89162.6""","=""2s2.2p.4p""","=""3P""","=""2""","=""2s2.2p.(2P*<3/2>).8d""","=""2[3/2]*""","=""2""",,"=""T5520LS""","=""""",
Fe,2,"=""1278.7728""","=""""","=""1278.77281""","=""0.00010""","="":""","=""3.55e-03""",C+,"=""862.6118""","=""8680.4706""","=""3d6.(5D).4s""","=""a 6D""","=""3/2""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""",M1,"=""T9588c104""","=""L22760""",
Fe,2,"=""1278.78910""","=""0.00013""","=""1278.78930""","=""0.00010""","=""2.3""","=""""",,"=""99918.563""","=""107736.321""","=""3d6.(3F2).5s""","=""f 4F""","=""3/2""","=""3d6.(5D).6p""","=""4F*""","=""3/2""",,"=""""","=""L18349c139""",
C,1,"=""""","=""""","=""1278.935""","=""0.005""","=""""","=""7.e+03""",D,"=""81325.81077""","=""89142.68""","=""2s2.2p.4p""","=""3P""","=""1""","=""2s2.2p.(2P*<3/2>).8d""","=""2[5/2]*""","=""2""",,"=""T5520LS""","=""""",
Fe,1,"=""1278.9450""","=""0.0005""","=""1278.94504""","=""0.00023""","=""123""","=""""",,"=""40404.518""","=""48221.324""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""1""","=""3d7.(4F).5s""","=""e 5F""","=""1""",,"=""""","=""L11631""",
O,1,"=""""","=""""","=""1279.0350""","=""""","=""""","=""1.77e+05""",C+,"=""99680.968""","=""107497.224""","=""2s2.2p3.(4S*).4p""","=""3P""","=""1""","=""2s2.2p3.(4S*).8s""","=""3S*""","=""1""",,"=""T5713LS""","=""""",
